feature,coef,importance_%
potential,5.293276511621619,49.82976488604669
edad_estimada,3.218271523582213,30.29611489357698
score_fisico,0.7261023386709646,6.8353710107047565
long_passing,0.3342086665413246,3.146168396846417
shot_power,0.26082772097656476,2.455375981868728
vision,-0.2508222061287234,2.361186220321765
short_passing,0.18665636797684731,1.7571428415554848
volleys,0.12805296835249536,1.2054630609143107
positioning,-0.10370567305174912,0.9762628674644394
long_shots,0.050777528502936126,0.4780087156302162
penalties,-0.04604436886978799,0.4334517703865519
ball_control,-0.023974348721129742,0.22568935468364695
