feature,shap_importance
ball_control,1.223258955098518
reactions,0.801022084548263
short_passing,0.759884609096592
score_tecnico,0.674948713105727
positioning,0.5439052595219253
sprint_speed,0.508858391180315
score_fisico,0.5017498455240387
score_mental,0.4682273614415071
finishing,0.39145589234646055
crossing,0.38937080814565733
acceleration,0.37470724938050287
vision,0.3442572362852679
dribbling,0.2684297165465568
long_passing,0.22216714191200704
agility,0.20728426982804798
shot_power,0.20485889889187853
curve,0.1889616684379644
long_shots,0.1803863557890445
volleys,0.16603440964225613
penalties,0.13341488345475583
